id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
3336889546,node,Żabka,,,convenience,,,,54.34176254272461,18.625946044921875,sklep
3336892707,node,Chełm Cienista 01,,,,,bus_stop,,54.33831787109375,18.6270751953125,przystanek_autobus
3336904877,node,Odrzańska,,,,tram_stop,,,54.345401763916016,18.62621307373047,przystanek_tramwaj
3397402223,node,Pepe Pizza,restaurant,,,,,,54.31419372558594,18.591325759887695,kawiarnia_restauracja
3410456574,node,Restauracja Gdańska,restaurant,,,,,,54.35090255737305,18.65066146850586,kawiarnia_restauracja
3414633954,node,Przyjaciel Piekarz,,,bakery,,,,54.38106918334961,18.606393814086914,sklep
3474042694,node,Netto,,,supermarket,,,,54.321266174316406,18.597251892089844,sklep
3489568894,node,Tu i Teraz,restaurant,,,,,,54.3491325378418,18.650012969970703,kawiarnia_restauracja
3489568895,node,Mojito,restaurant,,,,,,54.348392486572266,18.654373168945312,kawiarnia_restauracja
3531205437,node,Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku,school,,,,,,54.33241271972656,18.597118377685547,szkola_przedszkole
3535771334,node,,restaurant,,,,,,54.36669921875,18.623624801635742,kawiarnia_restauracja
3535779871,node,Witaminka,restaurant,,,,,,54.36488342285156,18.620128631591797,kawiarnia_restauracja
3535779872,node,Duo,,,convenience,,,,54.36543273925781,18.619873046875,sklep
3550609868,node,Centrum Medycyny Inwazyjnej 01,,,,,bus_stop,,54.36625289916992,18.619586944580078,przystanek_autobus
3550609869,node,Centrum Medycyny Inwazyjnej 02,,,,,bus_stop,,54.36623001098633,18.6191463470459,przystanek_autobus
3550609870,node,Uniwersyteckie Centrum Kliniczne 02,,,,,bus_stop,,54.36667251586914,18.626708984375,przystanek_autobus
3550671740,node,Lipowa,,,,,bus_stop,,54.3394660949707,18.576372146606445,przystanek_autobus
3550671741,node,Lipowa,,,,,bus_stop,,54.339988708496094,18.576499938964844,przystanek_autobus
3550671742,node,Myśliwska,,,,,bus_stop,,54.34380340576172,18.581104278564453,przystanek_autobus
3550671743,node,Myśliwska,,,,,bus_stop,,54.34414291381836,18.58196449279785,przystanek_autobus
3550671744,node,Pagórkowa,,,,,bus_stop,,54.34501647949219,18.590656280517578,przystanek_autobus
3550671745,node,Pagórkowa,,,,,bus_stop,,54.34504699707031,18.591468811035156,przystanek_autobus
3550671746,node,Zielony Stok,,,,,bus_stop,,54.34558868408203,18.59607696533203,przystanek_autobus
3550671747,node,Zielony Stok,,,,,bus_stop,,54.346065521240234,18.598222732543945,przystanek_autobus
3568194993,node,Chełm - Więckowskiego 01,,,,,bus_stop,,54.333988189697266,18.615812301635742,przystanek_autobus
3568194994,node,Kopeckiego 01,,,,,bus_stop,,54.33729553222656,18.61301040649414,przystanek_autobus
3568194995,node,Cieszyńskiego 04,,,,,bus_stop,,54.33842086791992,18.60976791381836,przystanek_autobus
3568194996,node,Cieszyńskiego 03,,,,,bus_stop,,54.33826446533203,18.609811782836914,przystanek_autobus
3568194997,node,Cieszyńskiego 02,,,,tram_stop,,,54.33823013305664,18.61000633239746,przystanek_tramwaj
3568194998,node,Cieszyńskiego 01,,,,tram_stop,,,54.33818054199219,18.6104793548584,przystanek_tramwaj
3571576693,node,Sushi Siedem,restaurant,,,,,,54.350337982177734,18.65732192993164,kawiarnia_restauracja
3592382463,node,Euronet,atm,,,,,,54.389549255371094,18.59349250793457,bank_atm
3592382464,node,Żabka,,,convenience,,,,54.389976501464844,18.593135833740234,sklep
3603149598,node,Serum,nightclub,,,,,,54.3736572265625,18.626686096191406,klub
3615182448,node,Biedronka,,,supermarket,,,,54.35040283203125,18.63235092163086,sklep
3623842866,node,Bar Karol,restaurant,,,,,,54.36997604370117,18.610929489135742,kawiarnia_restauracja
3655520539,node,Chełm Witosa 02,,,,tram_stop,,,54.337135314941406,18.617076873779297,przystanek_tramwaj
